id,title,product_category,price,brand,color,item_group_id,sale_price,shipping.country,shipping.price,size,stock
006959-05-146,D-rak boys T-shirt Ny Taxi,boys/t-shirts,12.45,D-Rak,grey,006959-05,,UK,2.95 GBP,,20
006959-05-140,D-rak boys T-shirt Ny Taxi,boys/t-shirts,12.45,D-Rak,grey,006959-05,,UK,2.95 GBP,,18
007504-65-146,Salty Dog boys T-shirt Los Angeles,,12.45,Salty Dog,red,007504-65,10.58,UK,2.95 GBP,146,9
007504-65-164,Salty Dog boys T-shirt Los Angeles,,12.45,Salty Dog,red,007504-65,10.58,UK,2.95 GBP,164,3
007504-65-158,Salty Dog boys T-shirt Los Angeles,,12.45,Salty Dog,red,007504-65,10.58,UK,2.95 GBP,158,1
007504-65-152,Salty Dog boys T-shirt Los Angeles,,12.45,Salty Dog,red,007504-65,10.58,UK,2.95 GBP,152,0
006814-65-128,Garcia girls T-shirt Pineapple,girls/t-shirts,9.95,Garcia,coral,006814-65,8.46,UK,2.95 GBP,128,0
006859-10-104,Lofff girls Dress Curvy Pinafore,girls/dresses,29.95,LoFff,blue,006859-10,,UK,2.95 GBP,104,17
007576-12-164,Knot So Bad boys Summer coat Champion,boys/coats/summer,19.45,Knot so bad,blue,007576-12,,UK,2.95 GBP,164,8
008124-12-158,American Outfitters boys T-shirt Lion,boys/t-shirts,22.45,American Outfitters,blue,008124-12,19.08,UK,2.95 GBP,158,12
