id,title,product_category,price,brand,color,item_group_id,sale_price,shipping.country,shipping.price,size,stock
006959-05-134,D-rak boys T-shirt Ny Taxi,boys/t-shirts,12.45,D-Rak,grey,006959-05,,UK,2.95 GBP,,22
008305-01-134,Retour Jeans girls trousers Angelina,girls/trousers,54.95,Retour Jeans,black,008305-01,,UK,2.95 GBP,134,4
008305-01-140,Retour Jeans girls trousers Angelina,girls/trousers,54.95,Retour Jeans,black,008305-01,,UK,2.95 GBP,140,8
006956-12-134,D-rak boys T-shirt Camera,boys/t-shirts,9.95,D-Rak,blue,006956-12,,UK,2.95 GBP,,5
007102-53-134,Blue Seven girls T-shirt Laugh - XL,girls/t-shirts,4.45,Blue Seven,yellow,007102-53,,UK,2.95 GBP,,4
008390-05-146-152,Tumble `n Dry boys Sweater Thompson - dark blue,girls/sweaters,46.45,Tumble 'n Dry,,008390-05,,UK,2.95 GBP,152,0
008753-02-140,Tumble `n Dry girls Legging Sierra,girls/leggings,21.45,Tumble 'n Dry,grey,008753-02,,UK,2.95 GBP,140,16
008753-02-146,Tumble `n Dry girls Legging Sierra,girls/leggings,21.45,Tumble 'n Dry,grey,008753-02,,UK,2.95 GBP,146,16
008309-05-164,Garcia girls dress Gardina,girls/dresses,49.99,Garcia,black,008309-05,,UK,2.95 GBP,164,7
008812-05-134,Knot So Bad boys T-shirt World Music,boys/t-shirts,18.95,Knot so bad,grey,008812-05,,UK,2.95 GBP,134,12
