id,title,product_category,price,brand,color,item_group_id,sale_price,shipping.country,shipping.price,size,stock
006959-05-134,D-rak boys T-shirt Ny Taxi,boys/t-shirts,12.45,D-Rak,grey,006959-05,,UK,2.95 GBP,,22
006959-05-146,D-rak boys T-shirt Ny Taxi,boys/t-shirts,12.45,D-Rak,grey,006959-05,,UK,2.95 GBP,,20
006959-05-140,D-rak boys T-shirt Ny Taxi,boys/t-shirts,12.45,D-Rak,grey,006959-05,,UK,2.95 GBP,,18
007504-65-146,Salty Dog boys T-shirt Los Angeles,,12.45,Salty Dog,red,007504-65,10.58,UK,2.95 GBP,146,9
007504-65-164,Salty Dog boys T-shirt Los Angeles,,12.45,Salty Dog,red,007504-65,10.58,UK,2.95 GBP,164,3
007504-65-158,Salty Dog boys T-shirt Los Angeles,,12.45,Salty Dog,red,007504-65,10.58,UK,2.95 GBP,158,1
007504-65-152,Salty Dog boys T-shirt Los Angeles,,12.45,Salty Dog,red,007504-65,10.58,UK,2.95 GBP,152,0
006814-65-128,Garcia girls T-shirt Pineapple,girls/t-shirts,9.95,Garcia,coral,006814-65,8.46,UK,2.95 GBP,128,0
008305-01-134,Retour Jeans girls trousers Angelina,girls/trousers,54.95,Retour Jeans,black,008305-01,,UK,2.95 GBP,134,4
008305-01-140,Retour Jeans girls trousers Angelina,girls/trousers,54.95,Retour Jeans,black,008305-01,,UK,2.95 GBP,140,8
006956-12-134,D-rak boys T-shirt Camera,boys/t-shirts,9.95,D-Rak,blue,006956-12,,UK,2.95 GBP,,5
007102-53-134,Blue Seven girls T-shirt Laugh - XL,girls/t-shirts,4.45,Blue Seven,yellow,007102-53,,UK,2.95 GBP,,4
006859-10-104,Lofff girls Dress Curvy Pinafore,girls/dresses,29.95,LoFff,blue,006859-10,,UK,2.95 GBP,104,17
007576-12-164,Knot So Bad boys Summer coat Champion,boys/coats/summer,19.45,Knot so bad,blue,007576-12,,UK,2.95 GBP,164,8
008390-05-146-152,Tumble `n Dry boys Sweater Thompson - dark blue,girls/sweaters,44.95,Tumble 'n Dry,,008390-05,,UK,2.95 GBP,152,0
008124-12-158,American Outfitters boys T-shirt Lion,boys/t-shirts,22.45,American Outfitters,blue,008124-12,19.08,UK,2.95 GBP,158,12
008753-02-140,Tumble `n Dry girls Legging Sierra,girls/leggings,19.95,Tumble 'n Dry,grey,008753-02,,UK,2.95 GBP,140,16
008753-02-146,Tumble `n Dry girls Legging Sierra,girls/leggings,19.95,Tumble 'n Dry,grey,008753-02,,UK,2.95 GBP,146,16
008309-05-164,Garcia girls dress Gardina,girls/dresses,49.99,Garcia,black,008309-05,,UK,2.95 GBP,164,7
008812-05-134,Knot So Bad boys T-shirt World Music,boys/t-shirts,18.95,Knot so bad,grey,008812-05,,UK,2.95 GBP,134,12
